Collection, Prefab, Tier, QuestTags, Tags, ThemeTags, DuplicateRepeatDistance, ThemeRepeatDistance, X, Y, Z, YOffset, MinSleepers, MaxSleepers, AvgSleepers 
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_business_07,2,clear/fetch/infested,downtown,,,,42, 20, 42,-1,20,20,20.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_01,2,clear/fetch/infested,downtown,,,,25, 25, 25,-6,16,16,16.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_02,3,clear/fetch/infested,downtown,,,,25, 27, 25,-3,23,23,23.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_03,3,clear/fetch/infested,downtown,,,,25, 31, 25,-1,20,20,20.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_04,1,,,,,,25, 28, 25,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_05,1,,,,,,25, 27, 25,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_06,3,clear/fetch/restore_power/infested,downtown,,,,25, 20, 25,-2,20,20,20.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_07,0,,,,,,25, 31, 25,-7,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_08,1,,,,,,25, 22, 25,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_09,1,clear/infested,downtown,,,,25, 16, 25,-1,12,12,12.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_11,3,clear/fetch/infested,downtown,,,,25, 30, 25,-2,22,22,22.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_12,3,clear/fetch/infested,downtown,,,,25, 26, 25,-1,23,23,23.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_13,2,clear/fetch/infested,downtown,,,,25, 21, 25,-1,16,16,16.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_14,2,clear/fetch/infested,downtown,,,,25, 19, 25,-1,16,16,16.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_15,2,clear/fetch/infested,downtown,,,,25, 16, 25,-1,15,15,15.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_21,1,,,,,,25, 23, 25,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_22,3,clear/fetch/infested,downtown,,,,25, 34, 25,-1,21,26,23.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_23,3,clear/fetch/infested,downtown,,,,25, 32, 25,-7,26,27,26.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_24,3,clear/fetch/infested,downtown,,,,25, 18, 25,-1,23,24,23.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_25,3,clear/fetch/infested,downtown,,,,25, 40, 25,-1,21,27,24.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_26,1,,,,,,25, 25, 25,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_27,3,clear/fetch/infested,downtown,,,,25, 21, 25,-1,30,33,31.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_29,1,,,,,,25, 22, 25,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_30,3,clear/fetch/infested,downtown,,,,25, 30, 25,-1,23,24,23.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_31,3,clear/fetch/infested,downtown,,,,25, 32, 25,-2,25,27,26.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_park_01,0,,downtown,,,,25, 4, 25,-2,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_park_02,0,,downtown,,,,25, 8, 25,-2,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_park_03,0,,downtown,,,,25, 7, 25,-2,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_park_04,0,,downtown,,,,25, 4, 25,-2,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_park_05,0,,downtown,,,,25, 7, 25,-2,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_plaza_01,0,,downtown,,,,25, 7, 25,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_plaza_02,0,,downtown,,,,25, 7, 25,-2,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_plaza_03,0,,downtown,,,,25, 8, 25,-3,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_plaza_04,0,,downtown,,,,25, 7, 25,-2,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_filler_plaza_05,0,,downtown,,,,25, 23, 25,-2,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_parking_lot_01,2,clear/fetch/infested,downtown,,,,42, 14, 42,-3,15,15,15.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_strip_01,4,clear/fetch/infested,downtown,,,,42, 32, 42,-1,38,38,38.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_strip_02,4,clear/fetch/restore_power/infested,downtown,,,,42, 23, 42,-1,39,42,40.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_strip_03,4,clear/fetch/infested,downtown,,,,42, 31, 42,-5,30,31,30.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_strip_04,4,clear/fetch/restore_power/infested,downtown,,,,42, 29, 42,-7,46,46,46.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_strip_05,4,clear/fetch/restore_power/infested,downtown,,,,42, 30, 42,-7,49,49,49.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_strip_06,1,,,,,,42, 23, 42,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_strip_07,4,clear/fetch/infested,downtown,,,,42, 23, 42,-1,41,41,41.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_strip_08,1,,,,,,42, 19, 25,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_strip_09,3,clear/fetch/restore_power/infested,downtown,,,,42, 18, 42,-1,24,25,24.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_strip_10,3,clear/fetch/infested,downtown,,,,42, 18, 42,-2,23,23,23.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_strip_11,4,clear/fetch/infested,downtown,,,,42, 21, 42,-1,40,40,40.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_strip_12,4,clear/fetch/restore_power/infested,downtown,,,,42, 30, 42,-2,49,49,49.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,factory_01,5,clear/fetch/restore_power/infested,industrial,,,,100, 55, 100,-1,190,190,190.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,factory_02,5,clear/fetch/restore_power/infested,industrial,,,,100, 78, 100,-6,256,259,257.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,factory_03,5,clear/fetch/restore_power/infested,industrial,,,,60, 55, 60,-21,127,128,127.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,farm_01,2,clear/fetch/infested,rural,,,,60, 23, 60,-8,17,17,17.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,farm_02,3,clear/fetch/restore_power/infested,rural,,,,60, 24, 60,-6,22,23,22.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,farm_03,2,clear/fetch/infested,rural,,,,60, 23, 60,-6,19,19,19.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,farm_04,2,clear/fetch/infested,rural,,,,60, 17, 60,-2,13,16,14.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,farm_05,3,clear/restore_power/infested,rural,,,,60, 19, 60,-4,24,24,24.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,farm_07,2,clear/fetch/infested,rural,,,,60, 24, 60,-7,14,17,15.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,farm_08,2,clear/fetch/infested,rural,,,,60, 20, 60,-6,14,15,14.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,farm_10,2,clear/fetch/infested,rural,,,,60, 21, 60,-5,15,15,15.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,farm_11,2,clear/fetch/infested,rural,,,,60, 29, 60,-6,14,16,15.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,farm_12,1,clear/fetch/infested,rural,,,,60, 15, 60,-2,7,10,8.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,farm_13,3,clear/fetch/infested,rural,,,,100, 23, 100,-5,21,24,22.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,farm_14,2,clear/fetch/infested,rural,,,,60, 19, 60,-2,16,16,16.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,farm_15,3,clear/fetch/infested,rural,,,,60, 11, 60,-1,28,28,28.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,farm_16,4,clear/fetch/restore_power/infested,rural,,,,60, 34, 60,-6,30,30,30.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,fastfood_01,1,clear/fetch/infested,commercial,countrytown,nodiagonal,,,,42, 17, 42,-1,9,9,9.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,fastfood_02,1,clear/fetch/infested,commercial,,,,42, 22, 42,-1,7,7,7.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,fastfood_03,1,clear/fetch/infested,commercial,,,,42, 12, 42,-2,10,10,10.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,fastfood_04,1,clear/fetch/infested,commercial,countrytown,nodiagonal,,,,42, 17, 42,-1,9,9,9.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,fastfood_05,1,clear/fetch/infested,commercial,,,,42, 11, 42,-1,10,10,10.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,fastfood_06,3,clear/fetch/infested,commercial,,,,42, 21, 42,-2,22,22,22.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,fastfood_07,2,clear/fetch/infested,commercial,,,,42, 15, 42,-2,14,15,14.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,field_concert_01,3,clear/fetch/restore_power/infested,wilderness,,,,60, 12, 60,-1,26,29,27.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,fire_station_01,2,clear/fetch/infested,commercial,countrytown,nodiagonal,,,,42, 32, 42,-6,15,15,15.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,fire_station_02,3,clear/fetch/infested,commercial,industrial,,,,42, 21, 42,-1,20,20,20.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,fire_station_03,1,,,,,,42, 21, 42,-1,8,8,8.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,fire_station_04,2,clear/fetch/infested,countrytown,diagonal,,,,42, 37, 42,-4,13,15,14.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,football_stadium,1,,,,,,173, 44, 138,-1,11,13,12.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,funeral_home_01,1,clear/fetch/infested,commercial,countrytown,nodiagonal,,,,42, 23, 42,-1,9,9,9.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,gas_station_01,1,clear/infested,industrial,,,,42, 20, 42,-5,6,7,6.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,gas_station_02,1,clear/infested,gateway,nocheckpoint,,,,42, 13, 42,-1,6,8,7.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,gas_station_03,1,clear/infested,industrial,,,,42, 17, 42,-5,6,6,6.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,gas_station_04,1,clear/infested,countrytown,rural,gateway,nodiagonal,nocheckpoint,,,,60, 24, 60,-10,8,8,8.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,gas_station_05,4,clear/fetch/restore_power/infested,commercial,,,,60, 21, 60,-5,47,47,47.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,gas_station_06,0,clear,countrytown,rural,diagonal,,,,42, 15, 42,-2,0,2,1.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,gas_station_07,1,clear/infested,rural,gateway,nocheckpoint,,,,60, 15, 60,-1,4,4,4.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,gas_station_08,1,clear/infested,countrytown,gateway,diagonal,nocheckpoint,,,,42, 21, 42,-6,5,6,5.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,gas_station_09,1,clear/fetch/infested,commercial,,,,60, 13, 60,-2,9,9,9.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,gas_station_10,1,clear/infested,countrytown,rural,nodiagonal,,,,42, 12, 42,-1,8,10,9.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,gas_station_11,1,clear/fetch/restore_power/infested,countrytown,nodiagonal,,,,42, 18, 42,-4,5,7,6.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,gas_station_12,3,clear/fetch/infested,gateway,nocheckpoint,,,,60, 18, 60,-4,23,23,23.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,gravestowne_city_blk_01,0,,navonly,hideui,,,,103, 12, 103,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,gravestowne_city_blk_half,0,,navonly,hideui,,,,103, 12, 25,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,gravestowne_city_blk_quarter,0,,navonly,hideui,,,,25, 12, 25,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,gravestowne_city_sign_01,0,,navonly,hideui,,,,3, 14, 17,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,gravestowne_street_crater_01,0,,navonly,hideui,,,,9, 5, 9,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,hospital_01,5,clear/fetch/restore_power/infested,commercial,,,,100, 64, 100,-7,155,159,157.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,hotel_01,4,clear/fetch/restore_power/infested,commercial,,,,60, 30, 60,-7,44,45,44.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,hotel_ostrich_alt,1,,,,,,138, 44, 45,-1,12,15,13.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_burnt_01,1,clear/fetch/infested,countryresidential,,,,42, 22, 42,-1,8,8,8.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_burnt_02,2,clear/fetch/infested,residential,,,,42, 21, 42,-1,16,16,16.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_burnt_03,1,clear/fetch/infested,countryresidential,,,,42, 16, 42,-1,5,7,6.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_burnt_04,2,clear/fetch/infested,residential,,,,42, 25, 42,-6,14,15,14.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_burnt_05,2,clear/fetch/infested,residential,,,,42, 20, 42,-1,17,17,17.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_burnt_06,4,clear/fetch/infested,residential,,,,42, 25, 42,-1,30,30,30.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_construction_01,1,clear/fetch/infested,residential,,,,42, 21, 42,-5,7,8,7.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_construction_02,0,,countryresidential,,,,42, 17, 42,-7,2,3,2.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_construction_03,1,clear/fetch/infested,countryresidential,,,,42, 12, 42,-2,13,17,15.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_construction_04,1,clear/fetch/infested,rural,gateway,nocheckpoint,,,,60, 22, 60,-3,11,11,11.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_construction_05,3,clear/fetch/infested,residential,,,,42, 17, 42,-3,21,23,22.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_country_01,1,clear/infested,residential,,,,42, 13, 42,-1,5,5,5.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_01,2,clear/fetch/infested,residential,,,,42, 18, 42,-1,15,15,15.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_02,3,clear/fetch/infested,residential,,,,60, 13, 60,-2,20,20,20.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_03,2,clear/fetch/infested,residential,,,,42, 18, 42,-7,12,16,14.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_04,2,clear/fetch/infested,residential,,,,42, 21, 42,-6,12,12,12.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_05,3,clear/fetch/infested,rural,,,,60, 22, 60,-3,22,24,23.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_06,2,clear/fetch/infested,residential,,,,42, 11, 42,-1,10,11,10.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_07,3,clear/fetch/infested,residential,,,,42, 16, 42,-1,17,18,17.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_08,2,clear/fetch/infested,residential,,,,42, 15, 42,-1,14,14,14.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_09,2,clear/fetch/infested,residential,,,,42, 17, 42,-1,14,15,14.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_10,1,clear/fetch/infested,residential,,,,42, 20, 42,-5,7,7,7.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_11,2,clear/fetch/infested,residential,,,,42, 21, 42,-5,11,11,11.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_12,1,clear/fetch/infested,residential,,,,42, 17, 42,-3,8,8,8.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_13,1,clear/fetch/infested/,residential,,,,42, 19, 42,-5,9,9,9.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_14,2,clear/fetch/infested,residential,,,,42, 25, 42,-5,15,17,16.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_15,2,clear/fetch/infested,residential,,,,42, 17, 42,-4,13,15,14.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_16,2,clear/fetch/infested,residential,,,,42, 16, 42,-5,14,15,14.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_17,2,clear/fetch/infested,residential,,,,42, 19, 42,-4,13,16,14.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_18,4,clear/fetch/restore_power/infested,rural,,,,100, 30, 100,-16,50,54,52.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_19,2,clear/fetch/infested,residential,,,,42, 23, 42,-6,16,17,16.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_20,1,clear/fetch/infested,residential,,,,42, 13, 42,-1,9,9,9.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_21,3,clear/fetch/infested,residential,,,,42, 24, 42,-6,20,22,21.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_22,2,clear/fetch/infested,residential,,,,42, 20, 42,-5,14,15,14.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_23,5,clear/fetch/restore_power/infested,residential,,,,42, 31, 42,-16,97,97,97.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_24,4,clear/fetch/restore_power/infested,rural,,,,100, 33, 100,-10,53,53,53.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_25,1,clear/infested,residential,,,,42, 13, 42,-1,7,7,7.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_26,3,clear/fetch/restore_power/infested,residential,,,,42, 23, 42,-7,25,26,25.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_27,3,clear/fetch/infested,residential,,,,42, 18, 42,-6,20,20,20.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_modern_28,3,clear/fetch/restore_power/infested,residential,,,,42, 17, 42,-4,24,25,24.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_bungalow_01,3,clear/fetch/infested,,,,,42, 22, 42,-5,18,19,18.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_bungalow_02,2,clear/fetch/infested,countryresidential,,,,42, 23, 42,-4,15,15,15.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_bungalow_03,2,clear/fetch/infested,countryresidential,,,,42, 19, 42,-1,13,13,13.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_bungalow_04,2,clear/fetch/infested,countryresidential,,,,42, 21, 42,-4,15,15,15.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_bungalow_05,2,clear/fetch/infested,countryresidential,,,,42, 15, 42,-5,12,12,12.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_bungalow_06,2,clear/fetch/infested,countryresidential,,,,42, 23, 42,-7,15,15,15.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_bungalow_07,2,clear/fetch/infested,countryresidential,,,,42, 16, 42,-5,12,12,12.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_bungalow_08,2,clear/fetch/infested,countryresidential,,,,42, 16, 42,-5,11,13,12.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_bungalow_09,1,clear/fetch/infested,countryresidential,,,,42, 20, 42,-5,6,6,6.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_bungalow_10,1,clear/fetch/infested,countryresidential,,,,42, 14, 42,-2,8,8,8.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_bungalow_11,3,clear/fetch/infested,rural,,,,60, 43, 60,-20,22,24,23.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_bungalow_12,1,clear/fetch/infested,countryresidential,,,,42, 21, 42,-4,7,7,7.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_cottage_01_detail,1,clear/fetch/infested,,,,,33, 15, 38,-5,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_cottage_01_path,0,,,,,,33, 15, 34,-5,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_cottage_01_sleeper,1,clear/fetch/infested,,,,,33, 15, 38,-5,6,6,6.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_gambrel_01,2,clear/fetch/infested,countryresidential,,,,42, 28, 42,-10,9,12,10.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_gambrel_02,1,clear/fetch/infested,countryresidential,,,,42, 20, 42,-1,8,8,8.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_gambrel_03,3,clear/fetch/infested,rural,,,,100, 44, 100,-22,21,24,22.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_gambrel_04,2,clear/fetch/infested,residential,,,,42, 20, 42,-5,14,15,14.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_mansard_01,2,clear/fetch/infested,residential,,,,42, 26, 42,-5,16,17,16.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_mansard_02,4,clear/fetch/infested,rural,,,,60, 31, 60,-7,31,35,33.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_mansard_03,3,clear/fetch/infested,countryresidential,,,,42, 20, 42,-4,21,21,21.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_mansard_04,3,clear/fetch/infested,countryresidential,,,,42, 21, 42,-5,19,19,19.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_mansard_05,1,clear/fetch/infested,residential,,,,42, 19, 42,-1,7,8,7.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,house_old_mansard_06,4,clear/fetch/infested,rural,gateway,nocheckpoint,,,,100, 33, 100,-7,41,41,41.0
